route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
816,65078-1111100-0,12196662,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196681,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196645,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196664,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196683,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196647,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196666,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196685,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196649,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196668,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196687,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196651,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196670,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196689,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196653,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196672,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196691,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196655,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196674,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196298,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196657,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196676,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196263,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196659,"Cuyamaca College",0,East,81601,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196678,"Cuyamaca College",0,East,81602,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196262,"Cuyamaca College",0,East,81603,816_2_20,1,2,Cuy Clg
816,65078-1111100-0,12196642,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196661,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196680,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196644,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196663,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196682,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196646,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196665,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196684,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196648,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196667,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196686,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196650,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196669,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196688,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196652,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196671,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196690,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196654,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196673,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196551,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196656,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196675,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196548,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196658,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196677,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196261,"El Cajon Transit Ctr",1,West,81603,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196660,"El Cajon Transit Ctr",1,West,81601,816_3_21,1,2,El Caj TC
816,65078-1111100-0,12196679,"El Cajon Transit Ctr",1,West,81602,816_3_21,1,2,El Caj TC
832,65078-1111100-0,12196470,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196471,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196472,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196473,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196474,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196475,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196476,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196477,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196478,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196479,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196480,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196481,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196482,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
832,65078-1111100-0,12196483,"North Santee",0,Clockwise,83201,832_8_6,1,2,N. Santee
834,65078-1111100-0,12196256,"West Santee",1,Counterclockwise,83401,834_9_15,1,2,West Santee
834,65078-1111100-0,12196257,"West Santee",1,Counterclockwise,83401,834_9_15,1,2,West Santee
834,65078-1111100-0,12196258,"West Santee",1,Counterclockwise,83402,834_9_15,1,2,West Santee
834,65078-1111100-0,12196259,"West Santee",1,Counterclockwise,83402,834_9_15,1,2,West Santee
848,65078-1111100-0,12196739,"Lakeside",0,North,84801,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196696,"Lakeside",0,North,84802,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196808,"Lakeside",0,North,11504,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196792,"Lakeside",0,North,11503,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196750,"Lakeside",0,North,11501,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196772,"Lakeside",0,North,11502,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196695,"Lakeside",0,North,11505,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196724,"Lakeside",0,North,84801,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196788,"Lakeside",0,North,84802,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196812,"Lakeside",0,North,11504,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196796,"Lakeside",0,North,11503,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196754,"Lakeside",0,North,11501,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196776,"Lakeside",0,North,11502,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196713,"Lakeside",0,North,11505,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196709,"Lakeside",0,North,84801,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196728,"Lakeside",0,North,84802,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196710,"Lakeside",0,North,11504,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196800,"Lakeside",0,North,11503,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196758,"Lakeside",0,North,11501,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196780,"Lakeside",0,North,11502,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196731,"Lakeside",0,North,11505,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196715,"Lakeside",0,North,84801,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196707,"Lakeside",0,North,84802,848_0_41,1,2,Lakeside
