trip_id,shape_id
12196320,854_1_41
12196278,854_1_46
12196322,854_1_41
12196324,854_1_41
12196280,854_1_46
12196326,854_1_41
12196328,854_1_41
12196282,854_1_46
12196330,854_1_41
12196332,854_1_41
12196284,854_1_46
12196334,854_1_41
12196336,854_1_41
12196286,854_1_46
12196338,854_1_41
12196340,854_1_41
12196288,854_1_46
12196342,854_1_41
12196290,854_1_46
12196292,854_1_46
12196294,854_1_46
12196296,854_1_46
12196138,855_0_20
12196139,855_0_20
12196140,855_0_20
12196141,855_0_20
12196142,855_0_20
12196143,855_0_20
12196144,855_0_20
12196145,855_0_20
12196146,855_0_20
12196147,855_0_20
12196148,855_0_20
12196149,855_0_20
12196150,855_0_20
12196151,855_0_20
12196152,855_0_20
12196153,855_0_20
12196154,855_0_20
12196155,855_0_20
12196156,855_0_20
12196157,855_0_20
12196158,855_0_20
12196159,855_0_20
12196160,855_0_20
12196161,855_0_20
12196162,855_0_20
12196163,855_0_20
12196164,855_0_20
12196165,855_0_20
12196166,855_0_20
12196167,855_0_20
12196168,855_0_20
12196169,855_1_23
12196170,855_1_23
12196171,855_1_23
12196172,855_1_23
12196173,855_1_23
12196174,855_1_23
12196175,855_1_23
12196176,855_1_23
12196177,855_1_23
12196178,855_1_23
12196179,855_1_23
12196180,855_1_23
12196181,855_1_23
12196182,855_1_23
12196183,855_1_23
12196184,855_1_23
12196185,855_1_23
12196186,855_1_23
12196187,855_1_23
12196188,855_1_23
12196189,855_1_23
12196190,855_1_23
12196191,855_1_23
12196192,855_1_23
12196193,855_1_23
12196194,855_1_23
12196195,855_1_23
12196196,855_1_23
12196197,855_1_23
12196198,855_1_23
12196343,856_0_86
12196357,856_0_86
12196367,856_0_86
12196378,856_0_84
12196390,856_0_86
12196345,856_0_84
12196359,856_0_84
12196369,856_0_84
12196380,856_0_84
12196392,856_0_84
12196347,856_0_84
12196361,856_0_84
12196371,856_0_84
12196402,856_0_84
12196382,856_0_84
12196394,856_0_84
12196349,856_0_84
12196363,856_0_84
12196373,856_0_84
12196404,856_0_84
12196384,856_0_84
12196396,856_0_84
12196351,856_0_84
12196365,856_0_84
12196375,856_0_84
12196406,856_0_84
12196386,856_0_84
12196398,856_0_84
12196353,856_0_84
12196377,856_0_84
12196388,856_0_84
12196400,856_0_84
12196344,856_1_95
12196358,856_1_95
12196368,856_1_95
12196379,856_1_95
12196391,856_1_95
12196346,856_1_95
12196360,856_1_95
12196370,856_1_95
12196381,856_1_95
12196393,856_1_95
12196348,856_1_95
12196362,856_1_95
12196372,856_1_95
12196403,856_1_95
12196383,856_1_95
12196395,856_1_95
12196350,856_1_95
12196364,856_1_95
12196374,856_1_95
12196405,856_1_95
12196385,856_1_95
12196397,856_1_95
12196352,856_1_95
12196366,856_1_95
12196376,856_1_95
12196407,856_1_95
12196387,856_1_95
12196399,856_1_95
12196423,856_1_95
12196389,856_1_92
12196401,856_1_92
12196496,864_2_147
12196520,864_2_150
12196485,864_2_147
12196535,864_2_150
12196509,864_2_147
12196522,864_2_150
12196498,864_2_147
12196537,864_2_150
12196487,864_2_147
12196524,864_2_150
12196511,864_2_147
12196539,864_2_150
12196500,864_2_147
12196526,864_2_150
12196489,864_2_147
12196541,864_2_150
12196513,864_2_147
12196528,864_2_150
12196502,864_2_147
12196543,864_2_150
12196491,864_2_147
12196530,864_2_150
12196515,864_2_147
12196545,864_2_150
12196504,864_2_147
12196532,864_2_150
12196493,864_2_147
12196517,864_2_147
12196506,864_2_147
12196495,864_2_148
12196519,864_2_148
12196484,864_3_146
12196508,864_3_146
12196534,864_3_149
12196497,864_3_145
12196521,864_3_151
12196486,864_3_145
12196536,864_3_151
12196510,864_3_145
12196523,864_3_151
12196499,864_3_145
12196538,864_3_151
12196488,864_3_145
12196525,864_3_151
12196512,864_3_145
12196540,864_3_151
12196501,864_3_145
12196527,864_3_151
12196490,864_3_145
12196542,864_3_151
12196514,864_3_145
12196529,864_3_151
12196503,864_3_145
12196544,864_3_151
12196492,864_3_145
12196531,864_3_151
12196516,864_3_145
12196546,864_3_151
12196505,864_3_145
12196533,864_3_151
12196494,864_3_145
12196518,864_3_145
12196507,864_3_145
12196611,871_8_18
12196612,871_8_17
12196565,871_8_17
12196553,871_8_17
12196615,871_8_17
12196568,871_8_17
12196556,871_8_17
12196618,871_8_17
12196571,871_8_17
12196559,871_8_17
12196621,871_8_17
12196574,871_8_17
12196562,871_8_17
12196624,871_8_17
12196577,871_8_17
12196592,871_8_17
12196609,871_8_17
12196550,872_9_20
12196579,872_9_20
12196596,872_9_20
12196632,872_9_20
12196582,872_9_20
12196599,872_9_20
12196635,872_9_20
12196585,872_9_20
12196602,872_9_20
12196638,872_9_20
12196588,872_9_20
12196605,872_9_20
12196641,872_9_20
12196591,872_9_20
12196593,872_9_20
12196610,872_9_20
12196547,874_8_61
12196628,874_8_62
12196549,874_8_62
12196564,874_8_62
12196578,874_8_62
12196552,874_8_62
12196595,874_8_65
12196614,874_8_63
12196631,874_8_63
12196567,874_8_63
12196581,874_8_63
12196555,874_8_63
12196598,874_8_63
12196617,874_8_63
12196634,874_8_63
12196570,874_8_63
12196584,874_8_63
12196558,874_8_63
12196601,874_8_63
12196620,874_8_63
12196637,874_8_63
12196573,874_8_63
12196587,874_8_63
12196561,874_8_63
12196604,874_8_63
12196623,874_8_63
12196640,874_8_63
12196576,874_8_64
12196590,874_8_64
12196607,874_8_64
12196608,874_8_64
12196594,874_8_64
12196629,875_9_30
12196613,875_9_30
12196630,875_9_28
12196566,875_9_28
12196580,875_9_28
12196554,875_9_28
12196597,875_9_28
12196616,875_9_28
12196633,875_9_28
12196569,875_9_28
12196583,875_9_28
12196557,875_9_28
12196600,875_9_28
12196619,875_9_28
12196636,875_9_28
12196572,875_9_28
12196586,875_9_28
12196560,875_9_28
12196603,875_9_28
12196622,875_9_28
12196639,875_9_28
12196575,875_9_28
12196589,875_9_28
12196563,875_9_28
12196606,875_9_29
12196625,875_9_29
12196626,875_9_29
12196627,875_9_29
12196408,936_0_49
12196424,936_0_49
12196440,936_0_49
12196456,936_0_49
12196410,936_0_49
12196426,936_0_49
12196442,936_0_49
12196458,936_0_49
12196412,936_0_49
12196428,936_0_49
12196444,936_0_49
12196460,936_0_49
12196414,936_0_49
12196430,936_0_49
